year_month,average_exhaustion,average_sA,number_extract_points,average_pB,Predicted_pB,Error,datetime
201504,68.3,0.171,152.0,1.977190476190476,1.9620416575936281,-0.015148818596847802,2015-04-01
201505,54.26,0.17,162.0,1.7130952380952378,1.605232573623828,-0.1078626644714098,2015-05-01
201506,67.29,0.168,135.0,1.733238095238095,1.8502421962466413,0.1170041010085463,2015-06-01
201507,68.81,0.168,126.0,1.7727272727272725,1.8509527742424228,0.07822550151515029,2015-07-01
201508,71.11,0.16899999999999998,132.0,1.7756190476190474,1.95050291671348,0.17488386909443254,2015-08-01
201509,70.03,0.16699999999999998,134.0,1.7606666666666668,1.9347070466053462,0.17404037993867938,2015-09-01
201510,61.45,0.17,168.0,1.586846153846154,1.8305696947785646,0.24372354093241055,2015-10-01
201511,60.05,0.17,174.0,1.5403846153846152,1.8138321230713175,0.27344750768670223,2015-11-01
201512,62.36,0.171,192.0,1.474294117647059,1.9384679798698792,0.4641738622228202,2015-12-01
201601,37.86,0.159,164.0,1.3869230769230774,1.2684843704249573,-0.11843870649812005,2016-01-01
201602,55.6,0.161,132.0,1.4334999999999998,1.4847125972956483,0.05121259729564853,2016-02-01
201603,87.67,0.16,89.0,1.4973571428571428,2.337342967902897,0.8399858250457541,2016-03-01
201604,75.41,0.16,118.0,1.460846153846154,2.0762438792150766,0.6153977253689227,2016-04-01
201605,56.48,0.161,124.0,1.3300000000000003,1.4754782291854276,0.1454782291854273,2016-05-01
201606,25.02,0.161,106.0,1.1879285714285714,1.1692903169684805,-0.01863825446009093,2016-06-01
201607,18.9,0.161,122.0,1.174846153846154,1.2261383997880264,0.051292245941872316,2016-07-01
201608,19.43,0.162,112.0,1.1898571428571427,1.2276732809556543,0.03781613809851159,2016-08-01
201609,22.33,0.163,132.0,1.2010714285714283,1.2064481482418867,0.005376719670458385,2016-09-01
201610,37.58,0.163,148.0,1.311846153846154,1.2291650526534326,-0.08268110119272154,2016-10-01
201611,44.4,0.163,154.0,1.243875,1.335057822683698,0.09118282268369793,2016-11-01
201612,42.4,0.171,157.0,1.2513571428571428,1.3463328998403883,0.09497575698324545,2016-12-01
201701,45.55,0.19899999999999998,143.0,1.2972916666875005,1.439671373594817,0.1423797069073165,2017-01-01
201702,49.46,0.19899999999999998,141.0,1.3138511905,1.4870497760233068,0.1731985855233067,2017-02-01
201703,32.77,0.2,142.0,1.3255222221999998,1.3433429819006988,0.017820759700698963,2017-03-01
201704,33.93,0.201,133.0,1.3407142856428569,1.3685894675805554,0.027875181937698557,2017-04-01
201705,35.2,0.20199999999999999,135.0,1.4144444444,1.3720589607209255,-0.042385483679074465,2017-05-01
201706,37.52,0.203,129.0,1.4125111111333333,1.395498126930875,-0.017012984202458226,2017-06-01
201707,42.0,0.204,122.0,1.5015777778666668,1.4272929034812534,-0.07428487438541342,2017-07-01
201708,42.73,0.203,136.0,1.4696904762142855,1.4184884729948508,-0.05120200321943469,2017-08-01
201709,44.1,0.204,138.0,1.4760277777500002,1.4315161771634544,-0.044511600586545796,2017-09-01
201710,45.27,0.204,125.0,1.732761905,1.443521031475222,-0.289240873524778,2017-10-01
201711,51.3,0.205,132.0,1.8476222222,1.501847591649372,-0.34577463055062796,2017-11-01
201712,72.41,0.205,123.0,1.418897435846154,1.714674664146511,0.295777228300357,2017-12-01
201801,78.23,0.198,116.0,1.4011333334,1.7977471136530188,0.39661378025301874,2018-01-01
