region,year_month,zone_total_extracted,zone_reserves,zone_percent_extracted_total,ep_sA_reserves,zone_exhaustion,zone_avg_sA
rV,200712,135384339.0,434130041.0,2600.0,111738678.87832639,31.185204020469985,0.2573852724426559
rV,200801,147631490.0,458589501.0,2900.0,119723747.55221094,32.192514150035024,0.2610695344990267
rV,200802,100460746.0,304014592.0,2400.0,78556592.47964099,33.04471188014554,0.2583974406058805
rV,200803,151513112.0,465525223.0,2900.0,119042703.69861464,32.546703060169094,0.2557169790531729
rV,200804,158541298.0,504401005.0,3000.0,126575741.2147245,31.43159835694618,0.25094268242927964
rV,200805,173823662.0,531405291.0,3000.0,133645104.22359191,32.71018654573388,0.2514937402525635
rV,200806,168398353.0,552599702.0,2600.0,137095482.17065322,30.473840718792133,0.24809184962364172
rV,200807,241084045.0,712686597.0,3100.0,173301057.50637978,33.827498091703276,0.24316587155683494
rV,200808,269444131.0,747618332.0,3000.0,182188475.3644586,36.04033227478429,0.24369182451301716
rV,200809,270514129.0,730692522.0,3000.0,173536216.6881693,37.02160907019656,0.2374955421921908
rV,200810,264633493.0,700969304.0,2900.0,165441562.5276941,37.752508061323034,0.2360182701062957
rV,200811,63365287.0,172717648.0,700.0,40594625.046917096,36.68721044649705,0.23503461005280188
rV,200812,231242547.0,626535808.0,2100.0,148565845.01641294,36.90811347848773,0.2371226721911686
rV,200901,234324019.0,639678973.0,2100.0,151957673.610328,36.631502502115225,0.23755302272586656
rV,200902,179236416.0,512720096.0,1600.0,120629224.75553854,34.95794633335378,0.23527305774950263
rV,200903,232136463.0,656191480.0,2200.0,156184777.99365163,35.376329939547524,0.238017076956945
rV,200904,241992172.0,631570649.0,2197.568267093568,152900712.92646775,38.31593066953939,0.24209597638611566
rV,200905,144233204.0,401256089.0,1398.4949629809444,96232154.89087752,35.945424369622465,0.23982727621829936
rV,200906,189527774.0,525556621.0,1797.8893130546617,125499012.4188512,36.06229403777219,0.23879256278811337
rV,200907,199885866.0,588920560.0,1900.0,141044034.41460294,33.941057517163266,0.23949585732684037
rV,200908,236279361.0,640416021.0,2300.0,152999727.9897951,36.894667411826035,0.2389067777393956
rV,200909,213756671.0,563293565.0,2200.0,133478623.56032178,37.9476500854399,0.23696103036490712
rV,200910,235098402.0,674077424.0,2100.0,156840674.6435533,34.87706213403759,0.23267456980365106
rV,200911,228979867.0,780247434.0,1900.0000000000002,179614240.31341606,29.347083632959436,0.23020164179535907
rV,200912,244484126.0,833731727.0,2200.0,191588568.96102828,29.32407608856656,0.22979642342557546
rV,201001,267039165.0,945228707.0,2400.0,216728892.00360525,28.251275381546364,0.22928725122141816
rV,201002,253029235.0,895343716.0,2200.0,203593716.87703612,28.260569709521477,0.227391685716635
rV,201003,280912073.0,1020909267.0,2600.0,230333590.70221192,27.515870614582244,0.2256161229479876
rV,201004,237381542.0,674999366.0,2400.0,153053304.70369402,35.16766888341047,0.22674584957120392
rV,201005,259252122.0,900128050.0,2500.0,199954000.2693681,28.801693492387,0.2221395058951536
rV,201006,281765356.0,898971874.0,2500.0,200721452.63504764,31.34306691334817,0.22327890164342076
rV,201007,269026208.0,811607745.0,2300.0,183510475.48335433,33.147318967489646,0.22610734879489638
rV,201008,367549171.0,969941442.0,2500.0,218119989.6159305,37.893954736290155,0.22487954444566408
rV,201009,390510461.0,1002696549.0,2400.0,227241788.0705886,38.946026231910366,0.22663066737111967
rV,201010,370582992.0,937370527.0,2300.0,212051630.38075018,39.534312347757435,0.22621964769834307
rV,201011,285276853.0,787512499.0,2200.0,176240493.98787037,36.22505717207671,0.22379390068305488
rV,201012,307476806.0,844168100.0,2300.0,189013810.46961755,36.42364666468681,0.22390541702490008
rV,201101,344449718.0,887749524.0,2400.0,198458100.19025058,38.80032697150734,0.2235519083085992
rV,201102,252132181.0,649634963.0,1799.9999999999998,143797587.3124364,38.81136258979337,0.22135136731000793
rV,201103,346939599.0,956718221.0,2700.0,211500485.3552238,36.26350908602586,0.2210687334188692
rV,201104,288402099.0,815015913.0,1900.0,178790043.98811242,35.38606969505882,0.21937000386900718
rV,201105,378447051.0,1026018982.0,2700.0,222574273.6963352,36.8849950770209,0.21692997654144297
rV,201106,391302294.0,1081563970.0,2600.0,233021452.78627953,36.17930190481475,0.2154486089124063
rV,201107,445391752.0,1186467891.0,2700.0,254535875.4467317,37.53930092660215,0.21453246006699703
rV,201108,393022107.0,1021350193.0,2400.0,220029074.90175375,38.480641575597176,0.21542961112629247
rV,201109,406523222.0,1046076887.0,2300.0,224112171.08065704,38.861696214878705,0.2142406297909697
rV,201110,361305810.0,898058213.0,2100.0,192925367.22801095,40.23189196088339,0.214825012939346
rV,201111,385321647.0,959338141.0,2100.0,202258338.53998137,40.16536302813379,0.21083112397590098
rV,201112,449597348.0,1133847184.0,2300.0,238292849.2171129,39.65237594134202,0.2101631089089629
