zone,year_month,datestring
651,200204,2
651,200205,10
651,200206,12
651,200207,25
651,200208,14
651,200209,16
651,200210,65
651,200211,138
651,200212,221
651,200301,207
651,200302,296
651,200303,293
651,200304,345
651,200305,396
651,200306,344
651,200307,315
651,200308,333
651,200309,388
651,200310,302
651,200311,319
651,200312,391
651,200401,325
651,200402,246
651,200403,121
651,200404,131
651,200405,186
651,200406,127
651,200407,137
651,200408,109
651,200409,80
651,200410,99
651,200411,99
651,200412,77
651,200501,8
653,200205,7
653,200206,7
653,200207,8
653,200208,2
653,200209,4
653,200210,17
653,200211,18
653,200212,64
653,200301,127
653,200302,136
653,200303,111
653,200304,282
653,200305,401
653,200306,395
653,200307,321
653,200308,345
653,200309,381
653,200310,459
653,200311,457
653,200312,398
653,200401,354
653,200402,372
653,200403,421
653,200404,388
653,200405,356
653,200406,364
653,200407,330
653,200408,228
653,200409,137
653,200410,124
653,200411,108
653,200412,97
653,200501,63
655,200206,1
655,200207,2
655,200211,8
655,200212,7
655,200301,12
655,200302,17
655,200303,17
655,200304,89
655,200305,194
655,200306,187
655,200307,242
655,200308,386
655,200309,317
655,200310,361
655,200311,332
655,200312,381
655,200401,366
655,200402,382
655,200403,448
655,200404,459
655,200405,435
655,200406,423
655,200407,387
655,200408,459
655,200409,399
655,200410,341
655,200411,299
655,200412,168
655,200501,95
655,200502,36
661,200302,7
661,200303,8
661,200304,9
661,200305,4
661,200306,35
661,200307,85
661,200308,226
661,200309,179
661,200310,278
661,200311,369
661,200312,292
661,200401,320
661,200402,351
661,200403,424
661,200404,409
661,200405,391
661,200406,381
661,200407,341
661,200408,421
661,200409,363
661,200410,350
661,200411,349
661,200412,362
661,200501,202
661,200502,109
661,200503,88
661,200504,58
661,200505,68
661,200506,81
661,200507,53
661,200508,70
661,200509,29
663,200305,1
663,200306,9
663,200307,11
663,200308,9
663,200309,38
663,200310,154
663,200311,202
663,200312,228
663,200401,346
663,200402,247
663,200403,330
663,200404,334
663,200405,406
663,200406,367
663,200407,346
663,200408,433
663,200409,347
663,200410,360
663,200411,418
663,200412,433
663,200501,404
663,200502,325
663,200503,317
663,200504,340
663,200505,275
663,200506,341
663,200507,233
663,200508,262
663,200509,218
663,200510,129
663,200511,38
663,200512,17
665,200203,30
665,200204,83
665,200205,79
665,200206,32
665,200208,10
665,200209,3
665,200301,16
665,200307,4
665,200308,7
665,200309,14
665,200310,11
665,200311,19
665,200312,103
665,200401,157
665,200402,157
665,200403,267
665,200404,284
665,200405,390
665,200406,317
665,200407,285
665,200408,381
665,200409,337
665,200410,274
665,200411,382
665,200412,349
665,200501,392
665,200502,351
665,200503,321
665,200504,369
665,200505,351
665,200506,382
665,200507,290
665,200508,423
665,200509,349
665,200510,384
665,200511,238
665,200512,264
665,200601,362
665,200602,267
665,200603,257
665,200604,220
665,200605,159
665,200606,240
665,200607,245
665,200608,221
665,200609,126
665,200610,68
667,200204,8
671,200308,2
671,200309,2
671,200310,1
671,200311,13
671,200312,10
671,200401,4
671,200402,47
671,200403,82
671,200404,147
671,200405,189
671,200406,208
671,200407,210
671,200408,296
671,200409,351
671,200410,220
671,200411,276
671,200412,356
671,200501,393
671,200502,334
671,200503,356
671,200504,346
671,200505,368
671,200506,373
671,200507,325
671,200508,323
671,200509,327
671,200510,368
671,200511,307
671,200512,272
671,200601,418
671,200602,344
671,200603,363
671,200604,395
671,200605,268
671,200606,309
671,200607,221
671,200608,223
671,200609,135
671,200610,102
671,200611,117
671,200612,4
673,200401,2
673,200402,9
673,200403,4
673,200404,5
673,200406,33
673,200407,104
673,200408,159
673,200409,175
673,200410,117
673,200411,218
673,200412,333
673,200501,413
673,200502,348
673,200503,292
673,200504,357
673,200505,356
673,200506,357
673,200507,315
673,200508,308
673,200509,303
673,200510,373
673,200511,280
673,200512,244
673,200601,435
673,200602,282
673,200603,324
673,200604,357
673,200605,291
673,200606,299
673,200607,229
673,200608,248
673,200609,185
673,200610,241
673,200611,236
673,200612,244
673,200701,153
673,200702,146
675,200406,9
675,200407,13
675,200409,6
675,200410,21
675,200411,85
675,200412,243
675,200501,455
675,200502,332
675,200503,258
675,200504,341
675,200505,322
675,200506,251
675,200507,309
675,200508,406
675,200509,295
675,200510,364
675,200511,246
675,200512,219
675,200601,144
675,200602,362
675,200603,377
675,200604,424
675,200605,401
675,200606,370
675,200607,387
675,200608,380
675,200609,242
675,200610,338
675,200611,234
675,200612,151
675,200701,92
675,200702,72
677,200407,2
677,200410,9
677,200411,49
677,200412,245
677,200501,358
677,200502,319
677,200503,281
677,200504,303
677,200505,308
677,200506,362
677,200507,284
677,200508,347
677,200509,270
677,200510,347
677,200511,212
677,200512,194
677,200601,331
677,200602,302
677,200603,381
677,200604,367
677,200605,389
677,200606,312
677,200607,277
677,200608,295
677,200609,185
677,200610,326
677,200611,288
677,200612,243
677,200701,154
677,200702,67
677,200703,27
P67,200711,2
P67,200801,14
P67,200808,14
P67,200809,51
P67,200810,54
P67,200811,18
P67,200812,37
P67,200901,59
P67,200902,73
P67,200903,78
P67,200904,10
P67,200905,15
P67,200906,29
P67,200907,82
P67,200908,27
P67,200909,52
P67,200910,103
P67,200911,238
P67,200912,195
P67,201001,205
P67,201002,283
P67,201003,337
P67,201004,41
P67,201005,352
P67,201006,352
P67,201007,327
P67,201008,310
P67,201009,331
P67,201010,290
P67,201011,244
P67,201012,317
P67,201101,331
P67,201102,266
P67,201103,366
P67,201104,282
P67,201105,456
P67,201106,483
P67,201107,514
P67,201108,466
P67,201109,501
P67,201110,421
P67,201111,452
P67,201112,518
P67,201201,395
P67,201202,427
P67,201203,346
P67,201204,409
P67,201205,442
P67,201206,505
P67,201207,519
P67,201208,462
P67,201209,412
P67,201210,499
P67,201211,371
P67,201212,345
P67,201301,506
P67,201302,458
P67,201303,453
P67,201304,461
P67,201305,438
P67,201306,483
P67,201307,511
P67,201308,457
P67,201309,431
P67,201310,450
P67,201311,419
P67,201312,450
P67,201401,424
P67,201402,413
P67,201403,421
P67,201404,498
P67,201405,507
P67,201406,419
P67,201407,395
P67,201408,372
P67,201409,351
P67,201410,374
P67,201411,361
P67,201412,379
P67,201501,359
P67,201502,352
P67,201503,286
P67,201504,330
P67,201505,296
P67,201506,309
P67,201507,272
P67,201508,277
P67,201509,315
P67,201510,204
P67,201511,159
P67,201512,226
P67,201601,95
P67,201602,149
P67,201603,196
P67,201604,176
P67,201605,193
P67,201606,35
P67,201803,53
P67,201804,119
P67,201805,138
P67,201807,92
P67,201808,175
P67,201809,142
P67,201810,172
P67,201811,156
P67,201812,131
P67,201901,142
P67,201902,167
P67,201903,202
P67,201904,176
P67,201905,197
P67,201906,143
P67,201907,121
P67,201908,6
P67,202001,60
P67,202002,109
P67,202003,156
P67,202004,51
P71,200710,3
P71,200711,14
P71,200801,11
P71,200802,1
P71,200803,20
P71,200804,28
P71,200805,22
P71,200806,15
P71,200807,1
P71,200808,26
P71,200809,117
P71,200810,86
P71,200811,43
P71,200812,113
P71,200901,111
P71,200902,104
P71,200903,82
P71,200904,16
