year_month,average_exhaustion,average_sA,number_extract_points,average_pA,Predicted_pA,Error,datetime,cA,production,cA_per_prod,Predicted_cA,cA_Error
201007,35.25,0.239,185.0,0.26,0.2474515216858253,-0.012548478314174659,2010-07-01,59274.0,735054,0.08650425099999999,0.08899131880879332,0.0024870678087933334
201008,40.17,0.239,207.0,0.254,0.2461040504633712,-0.00789594953662881,2010-08-01,70494.0,777912,0.087325183,0.0878439207551535,0.0005187377551535005
201009,41.0,0.236,222.0,0.248,0.2430529533799329,-0.004947046620067064,2010-09-01,70182.0,814474,0.085909841,0.08692167170540678,0.0010118307054067799
201010,43.2,0.233,214.0,0.237,0.23962664581382515,0.002626645813825157,2010-10-01,69417.0,771015,0.088894352,0.08464310168829922,-0.004251250311700774
201011,41.94,0.232,190.0,0.25,0.23903046997947924,-0.010969530020520757,2010-11-01,55383.0,714020,0.084792884,0.08663488302788501,0.0018419990278850107
201012,41.85,0.231,193.0,0.246,0.2381138589154016,-0.007886141084598453,2010-12-01,73279.0,788880,0.08710923699999999,0.08592110180848461,-0.0011881351915153798
201101,44.97,0.239,195.0,0.245,0.24478944439267805,-0.0002105556073219439,2011-01-01,61243.0,860523,0.080351676,0.08552887891344005,0.005177202913440052
201102,45.64,0.238,188.0,0.244,0.2436646873674067,-0.00033531263259328764,2011-02-01,54687.0,623529,0.08324446099999999,0.08516074619709879,0.0019162851970987993
201103,39.47,0.236,181.0,0.24,0.2434719840649684,0.003471984064968403,2011-03-01,86393.0,838023,0.087130261,0.08452393346623907,-0.00260632753376093
201104,37.9,0.233,218.0,0.249,0.241078190016881,-0.007921809983119005,2011-04-01,54589.0,621524,0.09393272300000001,0.0873518506964013,-0.006580872303598703
201105,39.31,0.233,196.0,0.237,0.2406920244836153,0.003692024483615303,2011-05-01,67747.0,796810,0.09250708099999999,0.08442816924721164,-0.008078911752788354
201106,38.49,0.233,214.0,0.242,0.24091660302069054,-0.0010833969793094256,2011-06-01,68290.0,792486,0.08622411599999999,0.08594767789810456,-0.0002764381018954265
201107,41.96,0.231,227.0,0.242,0.2380837325262805,-0.003916267473719481,2011-07-01,65580.0,879035,0.081681509,0.08589264466157194,0.004211135661571941
201108,41.45,0.23,216.0,0.239,0.2372821494933891,-0.0017178505066108851,2011-08-01,72623.0,829456,0.082564934,0.0852035620539569,0.0026386280539568985
201109,42.12,0.229,232.0,0.239,0.23615739246811865,-0.002842607531881341,2011-09-01,72520.0,796191,0.08413163800000001,0.08548862714630848,0.0013569891463084682
201110,43.6,0.228,219.0,0.229,0.2348107956684191,0.005810795668419133,2011-10-01,62366.0,643613,0.091443466,0.08339346473569455,-0.008050001264305454
201111,41.61,0.228,240.0,0.26,0.23535580943522805,-0.024644190564771958,2011-11-01,44811.0,602030,0.08800764400000001,0.08899404902224023,0.0009864050222402193
201112,41.51,0.227,257.0,0.234,0.2344419371337942,0.000441937133794229,2011-12-01,65681.0,707463,0.08850415699999999,0.08535859256348091,-0.0031455644365190744
201201,43.36,0.223,250.0,0.278,0.2301702263324385,-0.047829773667561526,2012-01-01,62575.0,666308,0.087593336,0.09142697231590627,0.0038336363159062747
201202,42.5,0.222,239.0,0.231,0.2294644999922004,-0.0015355000077995895,2012-02-01,52896.0,690327,0.087763275,0.08436897657753258,-0.003394298422467426
201203,56.74,0.219,230.0,0.242,0.22274072219877744,-0.019259277801222552,2012-03-01,61196.0,640075,0.088479048,0.08369100821149217,-0.004788039788507836
201204,53.25,0.221,238.0,0.219,0.22557907021848145,0.006579070218481475,2012-04-01,53303.0,693545,0.082707205,0.0811677544422291,-0.0015394505577709106
201205,51.56,0.22,250.0,0.217,0.2251006611779672,0.008100661177967206,2012-05-01,63034.0,795271,0.083392245,0.08140970200771298,-0.0019825429922870202
201206,53.29,0.218,243.0,0.23,0.2227443353841832,-0.007255664615816809,2012-06-01,50406.0,713256,0.075720957,0.08268361433755754,0.006962657337557535
201207,53.41,0.215,261.0,0.222,0.21988769044870626,-0.0021123095512937395,2012-07-01,74531.0,761776,0.08279555599999999,0.08186124986119828,-0.000934306138801716
201208,51.7,0.213,225.0,0.246,0.2184734990055837,-0.027526500994416364,2012-08-01,52208.0,673639,0.082443985,0.08515283997358522,0.002708854973585223
201209,54.61,0.212,236.0,0.215,0.2167352591473247,0.001735259147324697,2012-09-01,59861.0,731427,0.08611610800000001,0.08039930870560297,-0.005716799294397043
201210,54.58,0.212,237.0,0.212,0.21674347543526665,0.004743475435266625,2012-10-01,61180.0,759219,0.080049069,0.08003435919580512,-1.4709804194878995e-05
201211,56.41,0.209,212.0,0.222,0.21341850208710667,-0.008581497912893338,2012-11-01,44304.0,671149,0.076485051,0.08071721350380798,0.004232162503807979
201212,54.18,0.208,198.0,0.217,0.21308798622954503,-0.0039120137704549965,2012-12-01,47404.0,591446,0.075619221,0.07988924472632175,0.0042700237263217505
201301,57.56,0.222,229.0,0.213,0.22533992344541026,0.01233992344541024,2013-01-01,64019.0,761237,0.076946604,0.07957057442699068,0.002623970426990682
201302,58.7,0.221,239.0,0.205,0.22408644457571855,0.019086444575718592,2013-02-01,54718.0,694375,0.081160866,0.07858561344958678,-0.002575252550413215
201303,56.83,0.21600000000000005,233.0,0.202,0.21989229355124296,0.017892293551242968,2013-03-01,51403.0,648637,0.08085545,0.07834244366739213,-0.00251300633260787
201304,58.42,0.211,235.0,0.199,0.21475053065081087,0.01575053065081089,2013-04-01,56906.0,717416,0.07912288099999999,0.07780650147651977,-0.001316379523480224
201305,59.46,0.209,229.0,0.21,0.21258317947968955,0.002583179479689557,2013-05-01,44798.0,731610,0.072989322,0.07889893262512052,0.0059096106251205205
201306,58.93,0.207,227.0,0.21600000000000005,0.21084581404418867,-0.00515418595581138,2013-06-01,53301.0,690261,0.072456384,0.07973308181776752,0.007276697817767519
201307,58.85,0.205,225.0,0.214,0.20898520428956024,-0.005014795710439751,2013-07-01,53568.0,683707,0.072031053,0.079448291071633,0.007417238071632998
201308,60.0,0.204,226.0,0.223,0.20772898665722148,-0.015271013342778528,2013-08-01,49623.0,620238,0.078473337,0.08049214431078615,0.0020188073107861443
201309,63.15,0.2,221.0,0.211,0.2031012367117184,-0.007898763288281652,2013-09-01,48817.0,613608,0.079271864,0.07835452575791632,-0.0009173382420836762
201310,64.81,0.203,206.0,0.212,0.20547038189598066,-0.006529618104019336,2013-10-01,50296.0,676902,0.077841767,0.07807830836148469,0.0002365413614846823
201311,65.57,0.201,201.0,0.21,0.2033797160789822,-0.0066202839210177935,2013-11-01,47432.0,621223,0.076655579,0.0776352297386745,0.0009796507386744951
201312,64.55,0.199,210.0,0.195,0.20177655001319794,0.006776550013197935,2013-12-01,56221.0,725754,0.076066306,0.07585871817239498,-0.00020758782760502137
201401,60.23,0.202,206.0,0.196,0.2057834752605281,0.009783475260528085,2014-01-01,64220.0,783546,0.078794268,0.07635300701934093,-0.0024412609806590685
201402,56.24,0.198,183.0,0.191,0.2031112018451776,0.012111201845177609,2014-02-01,57017.0,721960,0.079532641,0.07498346637853136,-0.0045491746214686435
201403,57.24,0.195,187.0,0.189,0.20001354579673866,0.011013545796738659,2014-03-01,59592.0,773988,0.07932857,0.07479919036266362,-0.004529379637336378
201404,61.85,0.191,181.0,0.197,0.19498593650473486,-0.002014063495265145,2014-04-01,62947.0,863017,0.076116432,0.07558584428982872,-0.0005305877101712819
201405,63.49,0.191,188.0,0.184,0.19453677943058328,0.010536779430583287,2014-05-01,60826.0,883785,0.072741085,0.07372725865317102,0.0009861736531710241
201406,65.2,0.187,181.0,0.196,0.19030341130628856,-0.005696588693711424,2014-06-01,59415.0,831600,0.071047106,0.0751904933286379,0.004143387328637907
201407,66.96,0.185,171.0,0.17800000000000002,0.1879388692245623,0.009938869224562276,2014-07-01,57835.0,803291,0.07070222599999999,0.07196396167655705,0.0012617356765570603
201408,65.68,0.181,161.0,0.183,0.18452439113180052,0.0015243911318005565,2014-08-01,53496.0,728364,0.07225035,0.07240995647674336,0.0001596064767433597
201409,65.33,0.179,141.0,0.179,0.18273772796864785,0.003737727968647853,2014-09-01,53013.0,765334,0.071547578,0.07085454380419434,-0.0006930341958056585
201410,63.62,0.177,147.0,0.17600000000000002,0.18132353652552546,0.005323536525525446,2014-10-01,58528.0,803465,0.071843835,0.07059491151964793,-0.0012489234803520627
201411,67.55,0.174,147.0,0.183,0.17742342302143474,-0.005576576978565229,2014-11-01,47975.0,693754,0.070502658,0.07181612583594689,0.0013134678359468938
201412,62.63,0.172,170.0,0.177,0.1768883743880959,-0.00011162561190408704,2014-12-01,55594.0,755889,0.071943733,0.07191002744140125,-3.370555859874558e-05
201501,63.95,0.177,166.0,0.18,0.18123315735816567,0.0012331573581656765,2015-01-01,57352.0,768400,0.07255089299999999,0.07217640073179482,-0.00037449226820517045
201502,65.43,0.174,163.0,0.17800000000000002,0.17800404070266213,4.040702662105877e-06,2015-02-01,55769.0,712588,0.075424353,0.07168032778821705,-0.0037440252117829503
201503,69.73,0.173,154.0,0.175,0.17588511283643132,0.0008851128364313342,2015-03-01,46790.0,749508,0.071693023,0.07070674459513224,-0.0009862784048677575
201504,68.3,0.171,152.0,0.17800000000000002,0.1743942360391842,-0.003605763960815828,2015-04-01,53720.0,776615,0.069807581,0.07115034274432655,0.0013427617443265566
201505,54.26,0.17,162.0,0.174,0.17729819886805173,0.003298198868051744,2015-05-01,58934.0,818857,0.067993757,0.07094360297174925,0.002949845971749243
201506,67.29,0.168,135.0,0.185,0.17184707128284796,-0.01315292871715204,2015-06-01,48433.0,730375,0.0692595,0.07170246924285921,0.002442969242859208
201507,68.81,0.168,126.0,0.185,0.17143077936046425,-0.01356922063953575,2015-07-01,58903.0,734913,0.072793102,0.07136024725949434,-0.001432854740505654
201508,71.11,0.16899999999999998,132.0,0.17800000000000002,0.17174212387949475,-0.006257876120505268,2015-08-01,51717.0,758124,0.07153555,0.07032157474578153,-0.0012139752542184717
201509,70.03,0.16699999999999998,134.0,0.17600000000000002,0.17015539038959626,-0.005844609610403756,2015-09-01,74089.0,759300,0.08200771,0.07004104840778706,-0.011966661592212935
201510,61.45,0.17,168.0,0.183,0.17532902852466234,-0.007670971475337656,2015-10-01,20594.0,442348,0.074702567,0.07282267904798777,-0.0018798879520122297
201511,60.05,0.17,174.0,0.17800000000000002,0.17571245529528204,-0.002287544704717981,2015-11-01,27110.0,453561,0.073581644,0.07232780424071276,-0.001253839759287237
201512,62.36,0.171,192.0,0.174,0.17602106105166315,0.0020210610516631644,2015-12-01,38075.04,555628,0.059095318,0.07251887090187246,0.013423552901872464
201601,37.86,0.159,164.0,0.152,0.17143591040264158,0.019435910402641587,2016-01-01,22536.0,286757,0.067688808,0.06593004576254424,-0.0017587622374557604
201602,55.6,0.161,132.0,0.171,0.1684598653221866,-0.002540134677813416,2016-02-01,19385.65,260530,0.072532054,0.06841316801279582,-0.004118885987204182
201603,87.67,0.16,89.0,0.182,0.15873539358448124,-0.02326460641551875,2016-03-01,14829.69,276190,0.068916727,0.06990394945104117,0.0009872224510411726
201604,75.41,0.16,118.0,0.14800000000000002,0.16209311659004047,0.01409311659004045,2016-04-01,12430.76,287849,0.05657028099999999,0.06445992136184522,0.00788964036184523
201605,56.48,0.161,124.0,0.152,0.1682188542092243,0.01621885420922431,2016-05-01,20789.86,290075,0.05625749,0.06413887911219167,0.007881389112191668
201606,25.02,0.161,106.0,0.16899999999999998,0.1768350014975462,0.007835001497546207,2016-06-01,17619.5,284465,0.05895265400000001,0.06061412997658932,0.001661475976589312
201607,18.9,0.161,122.0,0.18600000000000005,0.17851112423767407,-0.007488875762325986,2016-07-01,11892.54,223263,0.063050528,0.06560381210555867,0.002553284105558676
201608,19.43,0.162,112.0,0.18600000000000005,0.17930722974527036,-0.006692770254729696,2016-08-01,18024.68,268201,0.061264265,0.06451624143641904,0.0032519764364190434
201609,22.33,0.163,132.0,0.147,0.17945424850546873,0.032454248505468734,2016-09-01,13971.1,246326,0.059486195,0.05807865477834817,-0.0014075402216518276
201610,37.58,0.163,148.0,0.16,0.17527763546837705,0.015277635468377043,2016-10-01,9164.64,218471,0.056153523,0.06574978827530736,0.009596265275307367
201611,44.4,0.163,154.0,0.188,0.1734097993429377,-0.014590200657062291,2016-11-01,22790.0,299164,0.06011529400000001,0.07262289767549579,0.012507603675495783
201612,42.4,0.171,157.0,0.197,0.1814876312956176,-0.015512368704382412,2016-12-01,20283.0,295025,0.064279822,0.07454837002295885,0.010268548022958846
201701,45.55,0.199,143.0,0.192,0.20698019904301296,0.014980199043012982,2017-01-01,22349.0,315511,0.071916016,0.07274920967359039,0.0008331936735903878
201702,49.46,0.199,141.0,0.19,0.20590934284793005,0.015909342847930025,2017-02-01,20867.0,269451,0.07215902099999999,0.072445014796959,0.00028599379695901095
201703,32.77,0.2,142.0,0.207,0.21142159763412904,0.004421597634129054,2017-03-01,22752.0,283890,0.075925474,0.07493892149183187,-0.0009865525081681342
201704,33.93,0.201,133.0,0.192,0.2120451610949486,0.020045161094948586,2017-04-01,20164.0,275247,0.076977943,0.07082309496179842,-0.006154848038201571
201705,35.2,0.202,135.0,0.205,0.21263859816664732,0.007638598166647359,2017-05-01,20918.0,295338,0.074705521,0.07418114792710939,-0.0005243730728906049
201706,37.52,0.203,129.0,0.205,0.2129444651603832,0.007944465160383218,2017-06-01,21078.9,296498,0.07168967700000001,0.07397421858981157,0.0022845415898115617
201707,42.0,0.204,122.0,0.2,0.21265875942230966,0.012658759422309651,2017-07-01,18761.0,285960,0.069216424,0.07275773281163128,0.003541308811631283
201708,42.73,0.203,136.0,0.224,0.21151756982115494,-0.01248243017884504,2017-08-01,22239.0,264867,0.073264568,0.07923577219570797,0.0059712041957079715
201709,44.1,0.204,138.0,0.225,0.21208361926638225,-0.012916380733617784,2017-09-01,24848.0,237866,0.08349002700000001,0.07961561665530754,-0.003874410344692464
201710,45.27,0.204,125.0,0.23,0.21176318403665134,-0.01823681596334864,2017-10-01,19357.0,253490,0.087862972,0.08026921932987316,-0.007593752670126838
201711,51.3,0.205,132.0,0.227,0.21105297008825,-0.015947029911749955,2017-11-01,21481.0,276837,0.08550715800000001,0.08002047498209422,-0.005486683017905794
201712,72.41,0.205,123.0,0.226,0.205271442139862,-0.020728557860138025,2017-12-01,22055.0,262780,0.079299514,0.0792652748346716,-3.4239165328395216e-05
201801,78.23,0.198,116.0,0.206,0.1970886627838284,-0.008911337216171628,2018-01-01,24404.0,309277,0.08003355,0.0750222447560656,-0.005011305243934394
201802,67.98,0.198,149.0,0.223,0.19989589449727974,-0.023104105502720268,2018-02-01,18859.0,273146,0.077280843,0.079056177048198,0.0017753340481980046
201803,59.62,0.198,140.0,0.2,0.2021855000703983,0.0021855000703982774,2018-03-01,24021.0,305643,0.07576463900000001,0.07472415548865628,-0.001040483511343726
201804,68.44,0.201,129.0,0.224,0.2025936911992143,-0.021406308800785676,2018-04-01,24950.0,321238,0.075364406,0.07907824259400172,0.003713836594001721
201805,68.37,0.199,124.0,0.226,0.20073034268194054,-0.02526965731805944,2018-05-01,25877.0,358068,0.075991752,0.07945081383583918,0.003459061835839189
201806,68.86,0.199,123.0,0.214,0.20059614331222286,-0.013403856687777159,2018-06-01,24922.0,317539,0.075988744,0.07696649570084879,0.0009777517008487946
201807,64.13,0.198,146.0,0.195,0.2009503181164813,0.0059503181164813354,2018-07-01,24656.0,346485,0.073824078,0.07397699163722499,0.00015291363722498563
201808,68.11,0.196,151.0,0.196,0.1979777707270596,0.0019777707270595968,2018-08-01,27429.0,343582,0.076425706,0.07420303912534772,-0.0022226668746522793
201809,69.71,0.194,169.0,0.199,0.19565704884768967,-0.003342951152310314,2018-09-01,20950.712,316479,0.072560729,0.07503024068838886,0.0024695116883888535
201810,72.38,0.192,145.0,0.187,0.19304327936506174,0.006043279365061771,2018-10-01,27790.0,363587,0.074410063,0.07231898329270335,-0.0020910797072966475
201811,69.82,0.194,138.0,0.184,0.1956269224585721,0.011626922458572107,2018-11-01,27763.0,379885,0.07217665,0.07162689172486549,-0.0005497582751345098
201812,77.4,0.187,146.0,0.211,0.1869621208766184,-0.024037879123381626,2018-12-01,32336.0,350190,0.080362123,0.07613668217395647,-0.004225440826043522
201901,83.5,0.19,134.0,0.192,0.1881152554454925,-0.0038847445545074633,2019-01-01,25320.0,442755,0.07283152700000001,0.07238750149891805,-0.0004440255010819544
201902,78.77,0.17765,136.0,0.173,0.1777861300680473,0.00478613006804729,2019-02-01,26971.0,388230,0.071646454,0.06951020936075189,-0.0021362446392481083
201903,88.15,0.1805,134.0,0.162,0.1778997614994295,0.015899761499429482,2019-03-01,32664.0,476383,0.064981704,0.06739041522478366,0.002408711224783658
201904,83.98,0.17195,140.0,0.159,0.17099405313977672,0.011994053139776722,2019-04-01,19662.0,470032,0.059414300999999996,0.0672815593431645,0.007867258343164506
201905,85.3,0.1672,130.0,0.161,0.16616155181279005,0.005161551812790044,2019-05-01,47566.0,541382,0.06714088,0.06723374685679488,9.286685679488205e-05
201906,85.1,0.16625,107.0,0.156,0.16532213013422706,0.00932213013422703,2019-06-01,9040.0,407105,0.053765935,0.06563742672250618,0.011871491722506178
201907,85.71,0.156,125.0,0.142,0.15550715135173504,0.013507151351735051,2019-07-01,33598.0,506351,0.06200278,0.06412204147850692,0.002119261478506919
201908,82.51,0.152,124.0,0.154,0.1526185156872601,-0.0013814843127399055,2019-08-01,23785.0,344203,0.052814793,0.06594482445071757,0.013130031450717575
201909,86.14,0.15,117.0,0.14300000000000002,0.14974182499048996,0.0067418249904899466,2019-09-01,24238.0,362179,0.067303355,0.0639246580827352,-0.0033786969172647924
201910,85.23,0.149,122.0,0.123,0.14904979246348868,0.026049792463488663,2019-10-01,29183.0,461360,0.06611563200000001,0.06111154074983853,-0.005004091250161477
201911,90.6,0.156,106.0,0.128,0.15416789641722195,0.026167896417221947,2019-11-01,16409.0,245938,0.06529359700000001,0.061177948272431636,-0.004115648727568373
201912,98.23,0.138,95.0,0.13699999999999998,0.13513554181509574,-0.001864458184904244,2019-12-01,11378.0,189351,0.063536568,0.062302546204151925,-0.0012340217958480768
202001,95.3,0.14,114.0,0.141,0.13782051912654766,-0.0031794808734523505,2020-01-01,20915.0,302346,0.066024524,0.06351490595434844,-0.002509618045651557
202002,99.56,0.147,122.0,0.15,0.14324262573414054,-0.006757374265859456,2020-02-01,16427.0,275361,0.063515406,0.06484563404114109,0.0013302280411410933
202003,95.02,0.14800000000000002,146.0,0.129,0.14542728390390375,0.016427283903903744,2020-03-01,19265.0,381275,0.05902822,0.06301238164391605,0.003984161643916052
