region_zone,year_month,zone_total_extracted,zone_reserves,zone_percent_extracted_total,ep_sA_reserves,zone_exhaustion,zone_avg_sA
rVP67,201109,26971665.0,111593663.0,277.196323437765,21120219.68516797,24.16953102435575,0.18926002711433504
rVP67,201110,23847702.0,93226511.0,256.77727000668006,17561717.771363188,25.580386677776666,0.18837686386615055
rVP67,201111,27706596.0,100968656.0,254.19712541043856,19114692.654761653,27.44078914945644,0.18931313352097756
rVP67,201112,32172750.0,114791438.0,231.96532252816868,21663038.912047192,28.027133870385,0.1887165043794224
rVP67,201201,25840108.0,88034093.0,168.42192823688958,16593598.944455814,29.352387375650025,0.18849059925517508
rVP67,201202,29504903.0,94781208.0,155.55462305346163,17926815.244328104,31.129486131892303,0.18913891922888454
rVP67,201203,23070806.0,74193932.0,147.37367153774395,13941056.8281121,31.095273397829892,0.18790022920084756
rVP67,201204,28993730.0,88797890.0,163.87798624947368,16713467.84785942,32.651372684643746,0.18821920034202863
rVP67,201205,32660403.0,96567637.0,168.28166736716963,18250750.58135292,33.82127182008192,0.18899448250300377
rVP67,201206,37486893.0,109239107.0,222.65620121593625,20502870.962700352,34.31636712299378,0.1876880132560984
rVP67,201207,40633004.0,113085336.0,190.54232737899906,21317448.06385118,35.9312758287246,0.18850762457699363
rVP67,201208,38452196.0,100938252.0,209.06418987825535,19041853.08845831,38.09477104873978,0.18864853225770456
rVP67,201209,35698341.0,89896586.0,177.71602004040432,16984757.571453027,39.71045240805919,0.18893662515118234
rVP67,201210,42128885.0,107531047.0,246.04504391099616,20214191.99803841,39.17834539451662,0.18798470359949543
rVP67,201211,32554355.0,79804148.0,183.16179351254758,15039660.42148779,40.792810669440385,0.18845712658304165
rVP67,201212,33528171.0,75440081.0,183.11374493431111,14243680.116571648,44.4434451230242,0.18880785820698745
rVP67,201301,46984569.0,109253076.0,226.3442149398155,20544098.92788416,43.005259641385294,0.18804137768976098
rVP67,201302,43822505.0,99311341.0,176.1382695552009,18706897.52929946,44.12638532390777,0.1883661759163987
rVP67,201303,44073666.0,98438653.0,190.43766237641705,18529422.839708857,44.77272357637807,0.18823320184713271
rVP67,201304,47155705.0,100297141.0,201.3662272703931,18916202.174772322,47.016001183922086,0.18860160904060388
rVP67,201305,46787389.0,94516779.0,210.79696698875318,17806581.27456599,49.5016752528141,0.18839598072386693
rVP67,201306,52333450.0,105273595.0,226.26721008118108,19863290.22338666,49.71184844594696,0.18868254877575577
rVP67,201307,55649490.0,110503869.0,204.11661584865067,20756658.237246003,50.35976613633319,0.1878364841437905
rVP67,201308,50266087.0,98560458.0,188.6625750638426,18501186.641287066,51.00025712137012,0.1877140895721798
rVP67,201309,48176576.0,93166159.0,169.68977256921895,17472135.693935078,51.71038123402726,0.18753736207945504
rVP67,201310,53327036.0,102494759.0,219.14656767109926,19459984.72380959,52.02903691885358,0.18986321753105043
rVP67,201311,50788630.0,95309066.0,209.55360818770794,18050937.15378231,53.28835139355997,0.18939370525131694
rVP67,201312,56302624.0,103248304.0,218.59391497048716,19587824.1479137,54.53128217970534,0.18971569884492923
rVP67,201401,51819434.0,98068747.0,204.10897689069242,18415039.914894737,52.83990627513575,0.1877768451033104
rVP67,201402,50690344.0,97146308.0,244.4728373064486,18213036.894861124,52.179382874746,0.18748048453741675
rVP67,201403,51810790.0,97901054.0,275.8770709935675,18291583.51603722,52.92158550203146,0.18683745239389576
rVP67,201404,65888242.0,117287621.0,318.68122599557773,21984877.97761968,56.17663777151726,0.18744414619527222
rVP67,201405,69844872.0,119060646.0,330.3502160297598,22343145.524829548,58.66327316920488,0.1876618872438299
rVP67,201406,60950225.0,98973662.0,266.26055042164603,18605706.075343132,61.58226720963401,0.18798643699111722
rVP67,201407,60276646.0,94406117.0,243.67909916367543,17802843.31489788,63.84824195237264,0.18857722233081442
rVP67,201408,56254419.0,87263162.0,266.6846492088904,16403166.441727389,64.46525396363702,0.18797355110427225
rVP67,201409,53252793.0,81786903.0,272.78533676656264,15625471.849412411,65.11163896253657,0.19105102744155028
rVP67,201410,57301268.0,86178508.0,277.66167606205613,16411175.020433005,66.4913669658797,0.19043234097801978
rVP67,201411,57585379.0,83578531.0,311.02623467780074,15944332.09570587,68.89972617489532,0.19077066687982194
rVP67,201412,62377044.0,87796708.0,291.4230222526665,16747776.547857473,71.04713311118681,0.19075631569076
rVP67,201501,60799603.0,83101467.0,253.1946917508715,15872651.766011503,73.16309229535022,0.19100326792078776
rVP67,201502,59938907.0,80599095.0,284.96021306451826,15345886.117232595,74.36672458915326,0.1903977472356556
