datetime,average_exhaustion,average_sA,number_extract_points,pA
2006-04-11,35.21196392157937,0.2464888228724357,125.0,0.225
2006-04-13,47.99422998243846,0.22359104306472316,51.0,0.2234
2006-04-14,55.82244320864459,0.2363945396706407,109.0,0.225
2006-04-15,46.03091694568828,0.2333852653476997,151.0,0.2238
2006-04-16,44.79176623352829,0.2452883347849777,144.0,0.2224
2006-04-17,42.7037116014315,0.23570529350640784,155.0,0.2266
2006-04-18,40.17658973701632,0.230475753225834,144.0,0.2254
2006-04-19,54.6296291402115,0.2362725790485957,125.0,0.2238
2006-04-20,43.13462421904595,0.23248517862986215,140.0,0.2236
2006-04-21,48.622018333116806,0.2208938325898945,118.0,0.2226
2006-04-22,41.9238560649883,0.23679103663440895,141.0,0.2202
2006-04-23,37.332470017474755,0.2346250090162568,135.0,0.2192
2006-04-24,39.152685466105716,0.2391114626921506,126.0,0.218
2006-04-25,43.606412366161706,0.2366575541723853,142.0,0.2286
2006-04-27,50.22273953616478,0.23861952032683695,76.0,0.2332
2006-04-28,49.692201472052915,0.23162930791792866,129.0,0.2368
2006-04-29,50.48727398796152,0.22782528362881976,136.0,0.2392
2006-04-30,46.4362671236751,0.2334783496137219,78.0,0.2424
2006-05-01,42.312817683502864,0.2332029069195558,119.0,0.2402
2006-05-02,58.79074914311446,0.23421217537403785,123.0,0.2354
2006-05-03,36.32855208089241,0.2392445537650801,110.0,0.23
2006-05-04,46.923346349358155,0.2338129574947201,138.0,0.2252
2006-05-05,46.32950501063037,0.2268631751437251,119.0,0.2198
2006-05-06,43.381967031057044,0.23721592318273196,123.0,0.212
2006-05-07,43.08697843322841,0.25146642500996585,150.0,0.21
2006-05-08,44.0391967644306,0.2429478865246334,139.0,0.2096
2006-05-09,43.081960806191304,0.23955804923714305,148.0,0.211
2006-05-11,42.2157527298946,0.23305600863185064,75.0,0.2124
2006-05-12,51.8405649548977,0.2306664223201361,138.0,0.2128
2006-05-13,43.126266513262074,0.23957573977184485,150.0,0.2098
2006-05-14,40.21694696405357,0.2449882940720331,85.0,0.2062
2006-05-15,39.63812928121953,0.24213786196645565,130.0,0.2078
2006-05-16,37.67437927840831,0.2385050657433733,142.0,0.211
2006-05-17,49.08564718585457,0.2450383286465106,141.0,0.2128
2006-05-18,43.42526279048585,0.2442526179111002,95.0,0.2194
2006-05-19,41.579632936317694,0.24479895340871174,123.0,0.2208
2006-05-20,43.04908248897169,0.2493975430438597,142.0,0.2218
2006-05-21,45.83878360692671,0.2437314907387932,130.0,0.2248
2006-05-22,38.845544526448776,0.2494097998264243,111.0,0.2256
2006-05-23,42.931167726968816,0.2401968680752261,46.0,0.2232
2006-05-26,51.73006532806622,0.2381311510002065,139.0,0.2236
2006-05-27,45.14204545415527,0.2509036408969825,119.0,0.2194
2006-05-28,48.27432642874579,0.2442295183435456,150.0,0.2148
2006-05-29,50.74316529038935,0.2471127748534747,122.0,0.2128
2006-05-30,51.49200256217666,0.24587259072541584,107.0,0.2118
2006-05-31,65.12244694108459,0.2373603488153672,97.0,0.2124
2006-06-01,60.6926095818625,0.249781356797252,108.0,0.2132
2006-06-02,60.98789724449462,0.2500539147238558,111.0,0.2144
2006-06-03,56.6558551210423,0.2539536266406201,98.0,0.2166
2006-06-04,63.833617771338275,0.2473779476953513,102.0,0.2152
2006-06-05,69.88369065512421,0.23436117231866194,98.0,0.2168
