year_month,average_exhaustion,average_sA,number_extract_points,average_pB,Predicted_pB,Error,datetime,cB,production,cB_per_prod,Predicted_cB,cB_Error
201206,53.29,0.218,243.0,1.2426363636363638,1.427562713614253,0.1849263499778893,2012-06-01,14250,713256,0.022002005,0.027579307738653067,0.005577302738653065
201207,53.41,0.215,261.0,1.3803478260869566,1.4318287113052468,0.0514808852182902,2012-07-01,37050,761776,0.031383476,0.029232502469515656,-0.0021509735304843444
201208,51.7,0.213,225.0,0.93845,1.4690725810242882,0.5306225810242882,2012-08-01,19950,673639,0.033160032,0.03132878947092581,-0.001831242529074191
201209,54.61,0.212,236.0,0.9714499999999996,1.5330701373116322,0.5616201373116326,2012-09-01,14250,731427,0.032881954,0.030342746055361636,-0.0025392079446383622
201210,54.58,0.212,237.0,1.6114090909090906,1.5306424952519675,-0.08076659565712285,2012-10-01,22800,759219,0.026336642,0.030362098682424205,0.004025456682424204
201211,56.41,0.209,212.0,1.834190476190476,1.6396743665960023,-0.1945161095944734,2012-11-01,19950,671149,0.026366977000000003,0.03083923098402852,0.004472253984028517
201212,54.18,0.208,198.0,1.8142500000000008,1.5997181261351614,-0.2145318738648394,2012-12-01,19950,591446,0.031011755,0.033077448436225704,0.0020656934362257053
201301,57.56,0.222,229.0,1.653363636363636,1.5095665835700305,-0.14379705279360544,2013-01-01,17100,761237,0.028164393,0.02357351912952152,-0.00459087387047848
201302,58.7,0.221,239.0,1.7464736842105255,1.5317134948161544,-0.21476018939437114,2013-02-01,17100,694375,0.026452597,0.023149712656682336,-0.003302884343317665
201303,56.83,0.21600000000000005,233.0,1.6451578947368422,1.5511225983426469,-0.09403529639419506,2013-03-01,19950,648637,0.025733647000000002,0.026590270670621863,0.0008566236706218609
201304,58.42,0.211,235.0,1.7514545454545456,1.6412805162732658,-0.1101740291812796,2013-04-01,17100,717416,0.026280947000000002,0.028034247901918885,0.0017533009019188826
201305,59.46,0.209,229.0,1.769363636363636,1.6988607150675756,-0.0705029212960604,2013-05-01,19950,731610,0.027173097,0.0282028196176866,0.0010297226176866
201306,58.93,0.207,227.0,1.7092272727272728,1.7080342791093042,-0.0011929936179686518,2013-06-01,17100,690261,0.025312172,0.029810068983137705,0.004497896983137704
201307,58.85,0.205,225.0,1.833391304347826,1.7277069527115174,-0.10568435163630864,2013-07-01,17100,683707,0.025717404,0.03099071805174143,0.005273314051741432
201308,60.0,0.204,226.0,1.76905,1.7657743578871339,-0.0032756421128659068,2013-08-01,22800,620238,0.028582804,0.030435014062462726,0.001852210062462726
201309,63.15,0.2,221.0,1.81345,1.8883464186311356,0.07489641863113539,2013-09-01,34200,613608,0.038643000000000004,0.029414215974827088,-0.009228784025172916
201310,64.81,0.203,206.0,1.8124090909090909,1.909329871069272,0.09692078016018102,2013-10-01,22800,676902,0.041763748999999996,0.025945569260278536,-0.01581817973972146
201311,65.57,0.201,201.0,1.9230500000000008,1.9414941295782269,0.018444129578226054,2013-11-01,11400,621223,0.035779055,0.02629929559754378,-0.009479759402456218
201312,64.55,0.199,210.0,1.9363181818181816,1.9366408106026691,0.000322628784487744,2013-12-01,25650,725754,0.029571926000000002,0.028552276440478433,-0.001019649559521569
201401,60.23,0.202,206.0,2.0138636363636366,1.800979134416748,-0.21288450194688854,2014-01-01,31350,783546,0.032104793,0.03127582780572971,-0.0008289651942702883
201402,56.24,0.198,183.0,2.0327142857142846,1.7033702636547974,-0.3293440220594872,2014-02-01,42750,721960,0.044705682000000004,0.03674853051816919,-0.007957151481830814
201403,57.24,0.195,187.0,2.0815,1.749317339754453,-0.3321826602455471,2014-03-01,45161,773988,0.052319067000000004,0.03709661947687978,-0.01522244752312022
201404,61.85,0.191,181.0,1.919782608695652,1.8685107330432056,-0.0512718756524464,2014-04-01,57000,863017,0.061429907,0.035006117792303365,-0.026423789207696634
201405,63.49,0.191,188.0,1.967833333333333,1.9295836449231425,-0.038249688410190615,2014-05-01,31350,883785,0.052963952,0.033843920677482264,-0.019120031322517737
201406,65.2,0.187,181.0,1.9287272727272724,1.9691540776993992,0.040426804972126806,2014-06-01,28500,831600,0.045318767,0.035018123699964224,-0.01030064330003578
201407,66.96,0.185,171.0,2.1787,1.9835301017972555,-0.19516989820274452,2014-07-01,54150,803291,0.045261876,0.03578125568672229,-0.009480620313277711
201408,65.68,0.181,161.0,2.0986,1.9151207006912705,-0.18347929930872955,2014-08-01,31350,728364,0.048238552000000004,0.03862761728013682,-0.009610934719863184
201409,65.33,0.179,141.0,1.9673913043478253,1.804554830186172,-0.1628364741616537,2014-09-01,37050,765334,0.053352454,0.03985253640636288,-0.013499917593637119
201410,63.62,0.177,147.0,1.9044782608695647,1.794020712457956,-0.1104575484116086,2014-10-01,45600,803465,0.049626431,0.04043205812062588,-0.009194372879374121
201411,67.55,0.174,147.0,1.8622105263157889,1.908679887963112,0.046469361647323286,2014-11-01,25650,693754,0.047866282,0.045181758276364975,-0.002684523723635028
201412,62.63,0.172,170.0,1.7438181818181815,1.8752563334702428,0.1314381516520613,2014-12-01,22800,755889,0.04174234,0.042149549589226495,0.00040720958922649264
201501,63.95,0.177,166.0,1.9494444444444443,1.8962049729229709,-0.053239471521473236,2015-01-01,28500,768400,0.034692745,0.04055511986184687,0.005862374861846875
201502,65.43,0.174,163.0,2.0121578947368417,1.926619976870709,-0.08553791786613263,2015-02-01,39900,712588,0.040771128999999996,0.04327274156424318,0.002501612564243187
201503,69.73,0.173,154.0,2.0306,2.010116789501572,-0.02048321049842849,2015-03-01,22800,749508,0.040887767,0.048794427680281346,0.007906660680281348
201504,68.3,0.171,152.0,1.9771904761904757,1.962041657593628,-0.015148818596847803,2015-04-01,22800,776615,0.03819162,0.049248992307363224,0.011057372307363221
201505,54.26,0.17,162.0,1.7130952380952378,1.605232573623828,-0.1078626644714098,2015-05-01,14250,818857,0.025522606,0.03749305639710496,0.011970450397104957
201506,67.29,0.168,135.0,1.733238095238095,1.850242196246641,0.1170041010085463,2015-06-01,19950,730375,0.024507201,0.051008629932027455,0.026501428932027456
201507,68.81,0.168,126.0,1.7727272727272725,1.8509527742424228,0.07822550151515029,2015-07-01,19950,734913,0.023706901000000002,0.05376811762156891,0.03006121662156891
201508,71.11,0.16899999999999998,132.0,1.7756190476190474,1.95050291671348,0.17488386909443254,2015-08-01,31350,758124,0.032045343,0.05678353734232518,0.02473819434232518
201509,70.03,0.16699999999999998,134.0,1.7606666666666668,1.9347070466053464,0.17404037993867938,2015-09-01,39900,759300,0.040491276,0.05765351423496626,0.017162238234966258
201510,61.45,0.17,168.0,1.586846153846154,1.8305696947785648,0.2437235409324105,2015-10-01,19950,442348,0.046536025999999994,0.04190499007872926,-0.004631035921270732
201511,60.05,0.17,174.0,1.5403846153846152,1.8138321230713172,0.27344750768670223,2015-11-01,8550,453561,0.041324087,0.0407026319722963,-0.0006214550277037004
201604,75.41,0.16,118.0,1.460846153846154,2.0762438792150766,0.6153977253689227,2016-04-01,11400,287849,0.013825405,0.08807422088226435,0.07424881588226435
201605,56.48,0.161,124.0,1.3300000000000003,1.4754782291854276,0.1454782291854273,2016-05-01,19950,290075,0.036704702,0.03768284750383133,0.0009781455038313305
201606,25.02,0.161,106.0,1.1879285714285714,1.1692903169684803,-0.01863825446009093,2016-06-01,2850,284465,0.039657278,0.0442445854539224,0.004587307453922405
201607,18.9,0.161,122.0,1.174846153846154,1.2261383997880264,0.051292245941872316,2016-07-01,19950,223263,0.053584657,0.052583914812456944,-0.0010007421875430564
201608,19.43,0.162,112.0,1.1898571428571427,1.2276732809556543,0.03781613809851159,2016-08-01,14250,268201,0.047749214000000005,0.05246632738669495,0.004717113386694942
201609,22.33,0.163,132.0,1.2010714285714283,1.2064481482418867,0.005376719670458385,2016-09-01,14250,246326,0.065669093,0.04925432656019302,-0.01641476643980698
201610,37.58,0.163,148.0,1.311846153846154,1.2291650526534326,-0.08268110119272154,2016-10-01,2850,218471,0.042769557,0.03413447700200342,-0.008635079997996578
201611,44.4,0.163,154.0,1.243875,1.335057822683698,0.09118282268369793,2016-11-01,5700,299164,0.029844455,0.031719999855190834,0.0018755448551908346
201705,35.2,0.202,135.0,1.4144444444,1.3720589607209257,-0.04238548367907447,2017-05-01,17100,295338,0.020012288,0.0426009073127378,0.0225886193127378
201706,37.52,0.203,129.0,1.4125111111333333,1.3954981269308748,-0.017012984202458226,2017-06-01,11400,296498,0.032868826000000004,0.04178542848761099,0.008916602487610989
201707,42.0,0.204,122.0,1.5015777778666668,1.4272929034812534,-0.07428487438541342,2017-07-01,34200,285960,0.071428897,0.04065150889060952,-0.030777388109390486
201708,42.73,0.203,136.0,1.4696904762142855,1.4184884729948508,-0.05120200321943469,2017-08-01,37050,264867,0.097542265,0.041237620675527956,-0.05630464432447205
201709,44.1,0.204,138.0,1.4760277777500002,1.4315161771634544,-0.0445116005865458,2017-09-01,37050,237866,0.137315787,0.040243613711737763,-0.09707217328826223
201710,45.27,0.204,125.0,1.732761905,1.4435210314752218,-0.289240873524778,2017-10-01,8550,253490,0.109293158,0.03993410482497213,-0.06935905317502787
201711,51.3,0.205,132.0,1.8476222222,1.5018475916493716,-0.345774630550628,2017-11-01,8550,276837,0.070490098,0.03671442755355145,-0.03377567044644855
201805,68.37,0.199,124.0,1.7389411764705882,1.7010740635925583,-0.037867112878029685,2018-05-01,8550,358068,0.008680653,0.02464433116131695,0.01596367816131695
201806,68.86,0.199,123.0,1.7540714285714285,1.7025565667954696,-0.05151486177595888,2018-06-01,8550,317539,0.017154121,0.024145019913382595,0.006990898913382594
201807,64.13,0.198,146.0,1.8843690476428567,1.7509975773831432,-0.13337147025971352,2018-07-01,14250,346485,0.030672386,0.029545566479947105,-0.0011268195200528942
201808,68.11,0.196,151.0,1.903154761928572,1.8634324025662012,-0.03972235936237034,2018-08-01,59850,343582,0.082026109,0.027038369914792873,-0.05498773908520713
201809,69.71,0.194,169.0,1.9103750000833333,1.9982708507512432,0.08789585066790995,2018-09-01,51300,316479,0.12458447,0.02726217440491946,-0.09732229559508054
201810,72.38,0.192,145.0,1.90571875,1.9382589080455388,0.032540158045538885,2018-10-01,14250,363587,0.122503048,0.027401020263833342,-0.09510202773616666
201812,77.4,0.187,146.0,2.121230769230769,2.083528268187401,-0.03770250104336848,2018-12-01,2850,350190,0.015635543999999998,0.03321194512337142,0.01757640112337142
201901,83.5,0.19,134.0,2.116619047642857,2.0864786439107554,-0.030140403732101362,2019-01-01,8550,442755,0.009720079,0.029127661580861774,0.019407582580861775
201902,78.77,0.17765,136.0,2.2298690477142857,2.1320391542304464,-0.0978298934838393,2019-02-01,19950,388230,0.026541368,0.05296590313045041,0.02642453513045041
201903,88.15,0.1805,134.0,2.2170208333125,2.2837399191477816,0.06671908583528152,2019-03-01,31350,476383,0.045779,0.06029723195414695,0.014518231954146948
201904,83.98,0.17195,140.0,2.3822812500625004,2.331040908062025,-0.05124034200047545,2019-04-01,45600,470032,0.072603576,0.08000022958968223,0.007396653589682223
