datestring,total_extracted,number_extract_points,average_exhaustion,average_sA,average_percent_extracted_per_point,date,pA,pB,pD,pC
20140821,41512.0,165.0,68.19848078466683,0.19052495615458181,0.6060606060606064,8/21/2014,0.166,2.258,0.019,
20140822,35110.0,199.0,63.39560442590934,0.1895949693235286,0.4999636170025227,8/22/2014,0.16399999999999998,2.2640000000000002,0.02,
20140823,37528.0,173.0,69.28958306326733,0.19051623845960347,0.5780346820809242,8/23/2014,0.171,2.105,0.019,
20140824,17689.0,119.0,72.26799436768299,0.19223968002657021,0.8403361344537802,8/24/2014,0.166,2.184,0.02,
20140825,42469.0,179.0,68.5988323613908,0.19090414022807223,0.5586592178770949,8/25/2014,0.17,1.9480000000000002,0.017,
20140826,37889.0,184.0,64.40913854440076,0.19079906372737776,0.5407239069924621,8/26/2014,0.161,2.015,0.017,
20140827,34689.0,187.0,64.36092972085014,0.19194932526253278,0.5347593582887701,8/27/2014,0.146,2.205,0.022000000000000002,
20140828,36119.0,171.0,69.36393999071109,0.19001367601165592,0.584795321637427,8/28/2014,0.159,2.138,0.016,
20140902,36617.0,167.0,59.52368210978408,0.19020661023083402,0.5956627901491226,9/2/2014,0.166,2.227,0.022000000000000002,
20140903,33195.0,140.0,62.870750208301736,0.18848505870296733,0.7142857142857132,9/3/2014,0.17,2.015,0.016,
20140904,35279.0,158.0,69.45384771403585,0.18839872103466654,0.632911392405064,9/4/2014,0.172,1.85,0.016,
20140905,28619.0,125.0,64.8205426129461,0.19069781963052518,0.7999999999999993,9/5/2014,0.168,1.96,0.018000000000000002,
20140906,35996.0,151.0,64.25733106901791,0.19377951436495722,0.6622516556291403,9/6/2014,0.174,2.138,0.02,
20140907,34500.0,158.0,64.67965289499911,0.19315068473655073,0.6329113924050637,9/7/2014,0.18600000000000003,2.141,0.021,
20140908,32356.0,143.0,62.147513758128646,0.1907323593346829,0.6993006993006999,9/8/2014,0.185,2.101,0.019,
20140909,32341.0,145.0,67.40637558552794,0.18669542095507252,0.689655172413794,9/9/2014,0.17800000000000002,1.8869999999999998,0.013999999999999999,
20140910,38473.0,152.0,68.57266287407293,0.1867532958966028,0.6578947368421042,9/10/2014,0.195,1.969,0.019,
20140911,32774.0,158.0,68.35965986040988,0.1902935932496491,0.6329113924050637,9/11/2014,0.162,2.194,0.019,
20140915,9363.0,78.0,62.0742351136887,0.1981839787670618,1.2820512820512822,9/15/2014,0.187,2.178,0.02,
