year_month,average_exhaustion,average_sA,number_extract_points,average_pD,Predicted_pD,Error,datetime
201210,54.58,0.212,237.0,0.011409090909090914,0.013463040098320542,0.002053949189229628,2012-10-01
201211,56.41,0.209,212.0,0.01352380952380953,0.014144727069508162,0.0006209175456986325,2012-11-01
201212,54.18,0.20800000000000002,198.0,0.013700000000000007,0.013993572426352475,0.00029357242635246784,2012-12-01
201301,57.56,0.222,229.0,0.013954545454545464,0.01272679354115708,-0.001227751913388385,2013-01-01
201302,58.7,0.221,239.0,0.0148421052631579,0.012961817630754312,-0.0018802876324035874,2013-02-01
201303,56.83,0.21600000000000005,233.0,0.014368421052631588,0.013301627102031161,-0.0010667939506004264,2013-03-01
201304,58.42,0.21100000000000002,235.0,0.014136363636363643,0.014052936971312708,-8.342666505093549e-05,2013-04-01
201305,59.46,0.209,229.0,0.015409090909090916,0.014441276357528171,-0.0009678145515627443,2013-05-01
201306,58.93,0.207,227.0,0.01518181818181819,0.014641550174287785,-0.0005402680075304051,2013-06-01
201307,58.85,0.205,225.0,0.014782608695652184,0.014894643777547827,0.00011203508189564296,2013-07-01
201308,60.0,0.204,226.0,0.01445000000000001,0.01512989118516041,0.0006798911851604011,2013-08-01
201309,63.15,0.2,221.0,0.01580000000000001,0.015924039253008743,0.0001240392530087349,2013-09-01
201310,64.81,0.203,206.0,0.016272727272727276,0.015597070682334676,-0.0006756565903925996,2013-10-01
201311,65.57,0.201,201.0,0.01705000000000001,0.015828771388663385,-0.001221228611336625,2013-11-01
201312,64.55,0.19899999999999998,210.0,0.01840909090909092,0.016125524509883533,-0.0022835663992073867,2013-12-01
201401,60.23,0.20199999999999999,206.0,0.019772727272727282,0.01542234251595234,-0.004350384756774942,2014-01-01
201402,56.24,0.198,183.0,0.01947619047619048,0.015450140750769838,-0.004026049725420642,2014-02-01
201403,57.24,0.195,187.0,0.018909090909090917,0.016000084652053454,-0.002909006257037463,2014-03-01
201404,61.85,0.191,181.0,0.015652173913043486,0.01664025880441473,0.0009880848913712444,2014-04-01
201405,63.49,0.191,188.0,0.01725,0.01682823110706466,-0.00042176889293534317,2014-05-01
201406,65.2,0.187,181.0,0.017000000000000008,0.017163537604026745,0.00016353760402673667,2014-06-01
201407,66.96,0.185,171.0,0.019400000000000004,0.017015299238261335,-0.0023847007617386687,2014-07-01
201408,65.68,0.18100000000000002,161.0,0.018650000000000003,0.01709076813806535,-0.0015592318619346533,2014-08-01
201409,65.33,0.179,141.0,0.01821739130434783,0.016293459098482278,-0.0019239322058655535,2014-09-01
201410,63.62,0.177,147.0,0.018695652173913047,0.016945791339763826,-0.0017498608341492208,2014-10-01
201411,67.55,0.174,147.0,0.0196842105263158,0.016881481679909906,-0.002802728846405894,2014-11-01
201412,62.63,0.172,170.0,0.019136363636363646,0.01848395592656073,-0.000652407709802915,2014-12-01
201501,63.95,0.177,166.0,0.018666666666666668,0.017801896249025735,-0.0008647704176409331,2015-01-01
201502,65.43,0.174,163.0,0.0206842105263158,0.017885030251519437,-0.0027991802747963646,2015-02-01
201503,69.73,0.17300000000000001,154.0,0.02095000000000001,0.017132160393716844,-0.003817839606283166,2015-03-01
201504,68.3,0.171,152.0,0.019619047619047626,0.017328364675984528,-0.0022906829430630986,2015-04-01
201505,54.26,0.17,162.0,0.02068181818181819,0.018520248917097974,-0.0021615692647202166,2015-05-01
201506,67.29,0.168,135.0,0.01895238095238096,0.016623121288835637,-0.002329259663545323,2015-06-01
201507,68.81,0.168,126.0,0.020590909090909097,0.015814142598389164,-0.004776766492519933,2015-07-01
201508,71.11,0.16899999999999998,132.0,0.020047619047619054,0.015822755976441574,-0.004224863071177479,2015-08-01
201509,70.03,0.16699999999999998,134.0,0.02071428571428572,0.016241042295433085,-0.004473243418852635,2015-09-01
201510,61.45,0.17,168.0,0.018076923076923084,0.018636601282038423,0.0005596782051153389,2015-10-01
201511,60.05,0.17,174.0,0.018142857142857145,0.018849847736694944,0.0007069905938377995,2015-11-01
201512,62.36,0.171,192.0,0.01911764705882353,0.01908178020933173,-3.586684949180227e-05,2015-12-01
201601,37.86,0.159,164.0,0.021153846153846155,0.018465424844063303,-0.002688421309782852,2016-01-01
201602,55.6,0.161,132.0,0.019416666666666662,0.018002599874295776,-0.0014140667923708862,2016-02-01
201603,87.67,0.16,89.0,0.015428571428571429,0.01003187891475825,-0.005396692513813179,2016-03-01
201604,75.41,0.16,118.0,0.01753846153846154,0.014461505852986126,-0.0030769556854754153,2016-04-01
201605,56.48,0.161,124.0,0.01785714285714286,0.01750375434295221,-0.000353388514190648,2016-05-01
201606,25.02,0.161,106.0,0.017928571428571433,0.01616196299703764,-0.0017666084315337942,2016-06-01
201607,18.9,0.161,122.0,0.016923076923076926,0.015800588659703674,-0.0011224882633732516,2016-07-01
201608,19.43,0.162,112.0,0.01564285714285715,0.01567849396393973,3.563682108257901e-05,2016-08-01
201609,22.33,0.163,132.0,0.01571428571428572,0.01610276930351343,0.00038848358922771026,2016-09-01
201610,37.58,0.163,148.0,0.015642857142857146,0.017945670886592113,0.0023028137437349668,2016-10-01
201611,44.4,0.163,154.0,0.015062500000000003,0.01859690186197088,0.003534401861970876,2016-11-01
201612,42.4,0.171,157.0,0.014357142857142862,0.017687830811395723,0.0033306879542528613,2016-12-01
201701,45.55,0.19899999999999998,143.0,0.01385416675,0.01389117073756125,3.7003987561248786e-05,2017-01-01
201702,49.46,0.19899999999999998,141.0,0.01425595235714286,0.014050485518765551,-0.00020546683837730818,2017-02-01
201703,32.77,0.2,142.0,0.0147666666,0.01278253627044704,-0.00198413032955296,2017-03-01
201704,33.93,0.201,133.0,0.013880952357142855,0.01271937100817306,-0.0011615813489697958,2017-04-01
201705,35.2,0.20199999999999999,135.0,0.013200000066666669,0.0126847691225195,-0.0005152309441471686,2017-05-01
201706,37.52,0.203,129.0,0.012488888800000002,0.01266914110382519,0.00018025230382518777,2017-06-01
201707,42.0,0.204,122.0,0.012244444533333334,0.012692273036857875,0.0004478285035245406,2017-07-01
201708,42.73,0.203,136.0,0.011214285714285715,0.01305416373229626,0.0018398780180105458,2017-08-01
201709,44.1,0.204,138.0,0.010944444333333329,0.01302494943390851,0.0020805051005751817,2017-09-01
201710,45.27,0.204,125.0,0.012619047571428574,0.012868135793966336,0.00024908822253776226,2017-10-01
201711,51.3,0.205,132.0,0.011966666533333337,0.013078453601568875,0.0011117870682355382,2017-11-01
201712,72.41,0.205,123.0,0.012564102461538464,0.012191165952770654,-0.0003729365087678099,2017-12-01
201801,78.23,0.198,116.0,0.011755555533333331,0.011790860197603255,3.530466426992368e-05,2018-01-01
201802,67.98,0.198,149.0,0.013428571357142855,0.014479320407217807,0.0010507490500749513,2018-02-01
201803,59.62,0.198,140.0,0.013187500000000005,0.014321000751618677,0.0011335007516186726,2018-03-01
201804,68.44,0.201,129.0,0.013288888799999999,0.013137713642334951,-0.0001511751576650476,2018-04-01
201805,68.37,0.19899999999999998,124.0,0.013137254882352942,0.013091169082599257,-4.608579975368468e-05,2018-05-01
201806,68.86,0.19899999999999998,123.0,0.013000000000000001,0.013003842465321797,3.842465321795413e-06,2018-06-01
201807,64.13,0.198,146.0,0.012535714285714287,0.014483834092629428,0.0019481198069151405,2018-07-01
201808,68.11,0.196,151.0,0.014266666666666662,0.014799887628018808,0.0005332209613521464,2018-08-01
201809,69.71,0.19399999999999998,169.0,0.013729166750000002,0.01579150322350154,0.0020623364735015363,2018-09-01
201810,72.38,0.192,145.0,0.013312500062500001,0.014608871746583799,0.0012963716840837976,2018-10-01
201811,69.82,0.19399999999999998,138.0,0.012166666625000001,0.014228532977996,0.0020618663529959995,2018-11-01
201812,77.4,0.187,146.0,0.013634615384615384,0.014571810247454098,0.0009371948628387142,2018-12-01
201901,83.5,0.19,134.0,0.011744047642857141,0.012726031475304279,0.0009819838324471378,2019-01-01
201902,78.77,0.17765,136.0,0.012660714285714287,0.014351149314894918,0.0016904350291806307,2019-02-01
201903,88.15,0.1805,134.0,0.012882352941176477,0.01245199668721135,-0.0004303562539651265,2019-03-01
201904,83.98,0.17195,140.0,0.012375000000000004,0.01400610647896474,0.0016311064789647362,2019-04-01
201905,85.3,0.1672,130.0,0.011287037055555556,0.01315393401713348,0.001866896961577923,2019-05-01
201906,85.1,0.16625,107.0,0.010600000000000002,0.011543005950365415,0.0009430059503654133,2019-06-01
201907,85.71,0.156,125.0,0.01002941176470588,0.0129102818360225,0.00288087007131662,2019-07-01
201908,82.51,0.152,124.0,0.009720238071428572,0.013577093334092273,0.003856855262663701,2019-08-01
201909,86.14,0.15,117.0,0.008434523857142854,0.012262075818774079,0.0038275519616312245,2019-09-01
201910,85.23,0.149,122.0,0.008563725529411767,0.012838396182737497,0.00427467065332573,2019-10-01
201911,90.6,0.156,106.0,0.00796969709090909,0.010510508993892173,0.002540811902983083,2019-11-01
201912,98.23,0.138,95.0,0.00848148133333333,0.008518445532150455,3.696419881712466e-05,2019-12-01
202001,95.3,0.14,114.0,0.009533333199999999,0.010111149343830953,0.0005778161438309542,2020-01-01
202002,99.56,0.147,122.0,0.010230769230769227,0.009858711743875084,-0.00037205748689414335,2020-02-01
202003,95.02,0.14800000000000002,146.0,0.014192708312500003,0.012507678883454627,-0.0016850294290453767,2020-03-01
