datetime,average_exhaustion,average_sA,number_extract_points,pC
2018-02-27,49.687513775511064,0.1808776500325132,174.0,0.002333333
2018-02-28,50.335259122343324,0.18392856483243808,169.0,0.0025
2018-03-05,52.91471158534404,0.19138837325878694,156.0,0.0018
2018-03-06,53.226948988474376,0.1893101600545336,121.0,0.0025
2018-03-07,52.12249655995985,0.1888920581892633,127.0,0.002566667
2018-03-08,53.19784064022439,0.18684620856618095,63.0,0.001733333
2018-03-09,51.010876464421386,0.18965087533978311,163.0,0.001433333
2018-03-12,53.93409923038398,0.1959478900039192,163.0,0.0017666670000000004
2018-03-13,52.59788547537061,0.19333505261036865,152.0,0.001933333
2018-03-14,52.67691067031067,0.18955938143154247,127.0,0.002033333
2018-03-19,67.50876401737398,0.17907650692648672,154.0,0.002133333
