,datestring,average_exhaustion,average_sA,average_percent_extracted_per_point,pB
3041,20120810,49.43830530553603,0.21704270339468806,0.44247787610619305,0.846
3042,20120811,52.14089321210729,0.2098897689728999,0.3875968992248061,0.7829999999999999
3043,20120812,53.220275929574406,0.2141800139313758,0.37037037037037024,0.966
3044,20120813,52.40358900561967,0.21565811717777594,0.40322580645161255,0.935
3045,20120814,51.25646681582123,0.21530647611551249,0.39682539682539897,0.941
3046,20120815,50.55081020400782,0.21365965933880726,0.3649635036496358,0.945
3047,20120816,53.082710254070605,0.20946855108373866,0.3773584905660371,0.934
3048,20120821,55.52823911344226,0.2127525790602092,0.4524886877828042,0.8540000000000001
3049,20120822,54.96357538159464,0.20972061201934328,0.4608294930875565,0.984
3050,20120823,52.22477063650815,0.2180102062114807,0.4854368932038845,0.924
3051,20120824,49.33860525286492,0.2140708203769556,0.4184100418410044,1.0
3052,20120825,48.091265196082055,0.21699296877148985,0.4098360655737702,0.964
3053,20120826,49.84210739653736,0.2168675226535684,0.4366812227074233,1.118
3054,20120827,51.84184863388188,0.21824596118651454,0.4237288135593214,1.171
3055,20120828,55.994088293504774,0.21791298449371305,0.4608294930875582,0.991
3056,20120829,52.768349081575096,0.2191444825528029,0.5208333333333347,0.988
3057,20120904,54.65908583750522,0.215192472500216,0.5347593582887696,1.055
3058,20120906,54.61467380406224,0.21508622731187044,0.4048582995951419,0.953
3059,20120907,57.54428695186843,0.20833879679671505,0.4424778761061957,0.955
3060,20120908,55.25643662915631,0.21355406471471156,0.4255319148936175,0.927
3061,20120909,53.176593104565704,0.21481625686802314,0.3831417624521071,0.725
3062,20120910,57.97165797375863,0.20958734924567626,0.39370078740157377,0.682
3063,20120911,55.53285932659976,0.20791500537237345,0.40816326530612296,0.7509999999999999
3064,20120912,53.37051111552026,0.2124270396964646,0.3968253968253964,0.6779999999999999
3065,20120913,54.35776252906221,0.21280941567654452,0.4115226337448572,0.476
3066,20120917,70.98042112237802,0.1973004270743594,1.7241379310344835,0.604
3067,20120918,50.76878709362129,0.2101250623514473,0.4291845493562235,0.7859999999999999
3068,20120919,54.91353761343303,0.21318176783263032,0.4032258064516127,0.809
3069,20120920,52.82116086000387,0.21390012185300653,0.3496503496503487,0.809
3070,20120921,55.50047557642398,0.21144103154668606,0.3448275862068966,0.809
3071,20120922,55.383292898200885,0.2151869678191779,0.34722222222222243,0.809
3072,20120923,54.87307054981392,0.21587837372529955,0.3610108303249101,1.462
3073,20120924,48.76414907900176,0.22201938005576616,0.4784688995215305,1.4369999999999998
3074,20120925,51.49201689793203,0.21889166691309345,0.440528634361234,1.9
3075,20120926,50.095006142095535,0.21948113191161794,0.4048582995951428,1.41
3076,20120927,50.02221360379046,0.2113712994600463,0.5524861878453021,1.392
3077,20121002,54.22288664314762,0.21273789065799445,0.4016064257028105,1.401
3078,20121003,54.1985684296337,0.2132799040843152,0.37593984962405946,1.356
3079,20121004,55.78006924733215,0.21128036853412496,0.3802281368821284,1.061
3080,20121005,58.79147261944165,0.2123803518784735,0.4081632653061221,1.579
3081,20121006,60.79934786920737,0.2101738583929313,0.33670033670033744,1.693
3082,20121007,59.28244015199518,0.2122131896822433,0.35087719298245507,1.675
3083,20121008,55.298593089030845,0.21007084649781,0.42194092827004104,1.757
3084,20121009,63.570616787127335,0.20811318499945944,0.4694835680751178,1.6130000000000002
3085,20121010,48.170127430164726,0.21513300147262576,0.5988023952095823,1.875
3086,20121011,54.972708369676205,0.21468433923022093,0.3703703703703696,1.663
3087,20121016,50.57034586817193,0.213146316786434,0.4504504504504511,1.612
3088,20121017,54.68903132747279,0.21354198428339144,0.4385964912280704,1.7
3089,20121018,52.80508221595629,0.21283097909802606,0.4219409282700407,1.6769999999999998
3090,20121019,55.97677403442484,0.2167917928791197,0.4784688995215309,1.651
3091,20121020,52.79211900923908,0.2186434547660427,0.444444444444444,1.5319999999999998
3092,20121021,51.091059809549314,0.2195810885239048,0.4830917874396136,1.682
3093,20121022,49.92218836179589,0.22219982587834225,0.4545454545454553,1.595
3094,20121023,53.29136206368464,0.21764157788033267,0.4081632653061239,1.595
3095,20121024,54.14298319498268,0.21841638344374584,0.3968253968253957,1.793
3096,20121025,54.29155768699104,0.21487072393928933,0.4166666666666684,1.767
3097,20121030,54.40684156057736,0.2130933938308892,0.4255319148936163,1.586
3098,20121031,51.78022363413577,0.21688775270316807,0.5154639175257708,1.588
3099,20121101,53.6920241825561,0.2125565895577776,0.43668122270742427,1.732
3100,20121102,58.467861595848724,0.21386601729439014,0.4201680672268913,1.621
3101,20121103,57.33141156869812,0.2125321163070749,0.40650406504065134,1.7380000000000002
3102,20121104,56.26258978082496,0.2164189968224768,0.4098360655737695,1.6909999999999998
3103,20121105,56.74909945135308,0.21714764712087914,0.4149377593361006,1.942
3104,20121106,57.35166354276518,0.2201150197515458,0.5025125628140711,1.868
3105,20121107,58.00267496235879,0.2186486080608052,0.5714285714285721,1.864
3106,20121108,54.810920489212826,0.2252871220402969,0.6211180124223605,2.153
3107,20121113,55.00052677787336,0.2078926547121421,0.5263157894736857,1.87
3108,20121114,53.639700415446356,0.21191903073619348,0.4149377593360997,1.662
3109,20121115,56.77373506597775,0.21081460183789055,0.4784688995215318,1.86
3110,20121116,49.02695815427278,0.21692909360179674,0.5813953488372088,1.7719999999999998
3111,20121117,54.932172336156114,0.21011645554506714,0.3968253968253971,1.787
3112,20121118,58.23597048421008,0.2077353959588915,0.3984063745019925,1.829
3113,20121119,50.22647620094772,0.22195331124805,0.4608294930875576,1.759
