year_month,average_exhaustion,average_sA,number_extract_points,average_pD,Predicted_pD,Error,datetime,cCD,production,cCD_per_prod,Predicted_cCD,cCD_Error
201602,55.6,0.161,132.0,0.019416666666666662,0.018002599874295776,-0.0014140667923708864,2016-02-01,7633.8,260530,0.065059592,0.05385638234361478,-0.011203209656385223
201603,87.67,0.16,89.0,0.015428571428571429,0.01003187891475825,-0.005396692513813179,2016-03-01,4038.0,276190,0.028286400000000003,0.04721233315853093,0.018925933158530923
201604,75.41,0.16,118.0,0.01753846153846154,0.014461505852986126,-0.0030769556854754157,2016-04-01,7500.0,287849,0.023250692000000003,0.04659794930002139,0.023347257300021386
201605,56.48,0.161,124.0,0.01785714285714286,0.017503754342952208,-0.000353388514190648,2016-05-01,15000.0,290075,0.031070794,0.05079299168772844,0.01972219768772844
201606,25.02,0.161,106.0,0.017928571428571433,0.016161962997037642,-0.0017666084315337942,2016-06-01,7812.0,284465,0.035148871,0.04121695985832041,0.006068088858320414
201607,18.9,0.161,122.0,0.016923076923076926,0.015800588659703674,-0.0011224882633732516,2016-07-01,3883.2,223263,0.033460892,0.03473262964407293,0.0012717376440729289
201608,19.43,0.162,112.0,0.01564285714285715,0.015678493963939732,3.563682108257901e-05,2016-08-01,11440.8,268201,0.029817161000000002,0.030854055112244202,0.0010368941122442
201609,22.33,0.163,132.0,0.01571428571428572,0.016102769303513433,0.0003884835892277103,2016-09-01,15170.4,246326,0.041332086000000004,0.032084778895240126,-0.009247307104759878
201610,37.58,0.163,148.0,0.015642857142857146,0.017945670886592113,0.002302813743734967,2016-10-01,7638.0,218471,0.046724821,0.039153132209120284,-0.007571688790879716
201611,44.4,0.163,154.0,0.015062500000000003,0.018596901861970883,0.0035344018619708757,2016-11-01,301.2,299164,0.030249712,0.041725416241520666,0.011475704241520664
201612,42.4,0.171,157.0,0.014357142857142862,0.017687830811395727,0.003330687954252861,2016-12-01,11406.0,295025,0.023804789,0.03949283673974552,0.01568804773974552
201701,45.55,0.199,143.0,0.01385416675,0.01389117073756125,3.700398756124879e-05,2017-01-01,3982.8,315511,0.017247444,0.0411142415558277,0.0238667975558277
201702,49.46,0.199,141.0,0.01425595235714286,0.014050485518765551,-0.00020546683837730816,2017-02-01,15138.6,269451,0.03469074,0.04391416789216644,0.009223427892166444
201703,32.77,0.2,142.0,0.014766666599999999,0.01278253627044704,-0.00198413032955296,2017-03-01,7369.8,283890,0.030489888,0.03448896366332907,0.00399907566332907
201704,33.93,0.201,133.0,0.013880952357142855,0.01271937100817306,-0.0011615813489697956,2017-04-01,1749.6,275247,0.029276311,0.03367826411704232,0.00440195311704232
201705,35.2,0.202,135.0,0.013200000066666669,0.0126847691225195,-0.0005152309441471686,2017-05-01,14796.0,295338,0.027988414,0.033838124105360336,0.005849710105360336
201706,37.52,0.203,129.0,0.012488888800000002,0.01266914110382519,0.00018025230382518777,2017-06-01,11318.4,296498,0.032135332,0.035222179489690336,0.0030868474896903336
201707,42.0,0.204,122.0,0.012244444533333334,0.012692273036857877,0.00044782850352454063,2017-07-01,7869.0,285960,0.038714462000000005,0.038538642490234386,-0.00017581950976561928
